J1,J2,J3,J4,J5,J6,floor_clear_mm,self_clear_mm,self_target,collision
90,98.8,128.7,108.5,98.1,76.3,50.0,29.3,wrist.b.stl,0
90,116.3,78.8,160.5,173.5,69,50.0,25.7,wrist.b.stl,0
90,142.5,95.2,102.2,166.6,12.8,50.0,25.2,wrist.b.stl,0
90,15.7,3.6,149.9,140.1,156.6,50.0,26.0,wrist.b.stl,0
90,176.2,143.8,83.1,140.5,21.3,50.0,21.5,wrist.b.stl,0
90,115.2,25.8,170,93.9,74.6,50.0,30.2,wrist.b.stl,0
90,47.6,139.4,82.1,102.3,3.4,50.0,29.5,wrist.b.stl,0
90,111.2,110.2,111,169.9,122.7,50.0,24.3,wrist.b.stl,0
90,64.7,78.7,125.6,10.8,120,50.0,24.3,wrist.b.stl,0
90,120.7,37.9,23.2,56.8,65.5,50.0,28.8,wrist.b.stl,0
90,102.6,78.9,177.9,18.4,37.6,50.0,18.1,elbow.b.stl,0
90,29,117.6,45.6,83.9,44,50.0,32.5,wrist.b.stl,0
90,28.6,19.9,118.1,24.9,35.4,50.0,26.3,wrist.b.stl,0
90,66.4,147.8,17.5,150.8,17.3,50.0,22.8,wrist.b.stl,0
90,175.8,84.4,175.8,108.9,133.1,21.0,32.2,wrist.b.stl,0
90,7.1,50.9,21.6,53.3,21.4,50.0,23.5,wrist.b.stl,0
90,57.2,74.6,11.5,124.6,102,50.0,21.8,wrist.b.stl,0
90,47.8,94.2,16.9,103.7,167.3,50.0,33.0,wrist.b.stl,0
90,57.3,120.1,23.7,128.9,52.1,50.0,28.2,wrist.b.stl,0
90,33,105.6,3.6,149.2,0.8,50.0,25.1,wrist.b.stl,0
90,122,48.6,132.3,173.2,44.8,50.0,28.1,wrist.b.stl,0
90,103.7,106.6,103,40.2,171.5,50.0,25.4,wrist.b.stl,0
90,80.5,152.4,125.9,53.5,146.5,50.0,26.6,wrist.b.stl,0
90,71.4,158.6,104.6,158.7,124.7,50.0,22.7,wrist.b.stl,0
